ID,Label,Original Comment,Lemmatized Comment
01JNWJQKP88SQPENZYKFJD995F,1,Albin kurti asht baba i kosovs,albin kurti asht baba i kosovs
01JKC496CGMG6VMD1SSNAPW6NW,0,Jo jo  jo  jo hhhhh,jo jo jo jo hhhhh
01JNV8H8R8CJRAS17CHFKVK8B0,0,Veq edhe ti Adriatik ke pas met keq me fol po veq tregom qkajtu fol,veq edhe ti adriatik ke pas met keq me fol po veç tregom qkajtu fol
01JNDP9WD87A5TYP0VSRS2K4CE,0,"Transporti i dyshimtë. 
  Sa herë kan “pushuar” ato deri sa kan mbërri me biçikle?",transporti i dyshimtë. sa herë kan “pushuar” ato deri sa kan mbërri me biçikle?
01JKV403W82N2W3FK4P7Y6NP1J,0,"Rinumeroni votat e partive politike fillimisht se dreqi tzotin nuk eshte tu e dit, pastaj ato per deputet.","rinumeroni votat e partive politike fillimisht se dreqi tzotin nuk eshte duke e dit, pastaj ato per deputet."
01JJFJ9VB88EQEYKKCBVHKQM1P,0,Sa persona i ke ne List te AAK-se qe jane ne listen e zeze te Amerikes,sa persona i ke ne list te aak-se qe jane ne listen e zeze te amerikes
01JJ6Z1C88D2KGWW6NSWGQ3Y2Y,0,Serveri sigurisht i ka thene Haradinajt se procesi i anetarsimit ne NATO eshte i komplekum. Kjo organizate politilo - ushtarake nuk i pranon vendet te cilat nuk e kan te definum statutin e shtetit fuqiplot ne OKB.,serveri sigurisht i ka thene haradinajt se procesi i anetarsimit ne nato eshte i komplekum. kjo organizate politilo - ushtarake nuk i pranon vendet te cilat nuk e kan te definum statutin e shtetit fuqiplot ne okb.
01JKXPY8G0M8RE6BYMSRJRF7HT,0,I nuk I mer hajnat jo,i nuk i mer hajnat jo
01JKWW8M30093C3FF3ZP5H7JNF,0,Qe qka kan  dasht qytetart ktu dihet sa te etur jan kta per pushtet,qe qka kan dasht qytetart ktu dihet sa te etur jan kta per pushtet
01JJXNEJY0EYF8WR3XE1QR806M,2,Hahhhaha ahaahahhahaha ajo u kry o king kqyr naj ka tjeter nisja me rrejt,hahhhaha ahaahahhahaha ajo u kry o king kqyr naj ka tjeter nisja me rrejtë
01JK3ZJQD038ZEM98EZ4Y145YS,0,Na Njoft boll 200 vende te Bashkimit Evropian. ,na njoft boll 200 vende te bashkimit evropian.
01JNNEJNT0GCD2EEF24ERPFPW2,0,Dy lidhje si ki o Dash,dy lidhje si ki o dash
01JN35DNKRFZMP4Q76EWCMW1WG,0,Po ju pi bani vet kta shkrime asa ysa  ajdari uti vet fol dhe vet vepron kshtu metni mrapa evropes,po ju pi bani vet kta shkrime asa ysa ajdari uti vet fol dhe vet vepron kshtu metni mrapa evropes
01JNE8VY5R2K88JERV74WNANX5,0,"Qka u booooo moreeee, a nuk paska dhon ndonjë gol Xhaka aaaaa? Me hesap paska dhon autogoooool","qka u booooo moreeee, a nuk paska dhon ndonjë gol xhaka aaaaa? me hesap paska dhon autogoooool"
01JK36MZ2RW24YV4D937RG3N49,0,Hajde more fitoni se hala tu kajt jemi,hajde more fitoni se hala duke kajt jemi
01JJPCB8P81KRCMYVYMB385A6B,1,respekt e besojme ne ty,respekt e besojme ne ty
01JMFBEQZ8NSD1ZW2FXR3QYXR8,2,kapne grine zhag se u msu hahahaha.,kapne grine zhag se u msu hahahaha.
01JNGYRS28R4M9KSBQYNQWR015,0,Ska faj se a ka edin qka po e pret,ska faj se a ka edin qka po e pret
01JMDHK6YG8V1W4959D5YXG43B,2,Po qfar 52 o trullan qka je tu fol,po qfar 52 o trullan qka je duke fol
01JN5J18S88Q9X7GKAW66H4NR9,2,Tanve mutin jau haksh ti more mut lidhje ski se tije injorant,tanve mutin jau haksh ti more mut lidhje ski se tije injorant
01JKTXBF6832S50C5C9YQ25CP5,2,"Te kurtoviçi ska gje te mire pose injorimit,bulluzimit,ofenfimit dhe e quan opoziten hajvanat ky asht psikopat dhe spiun i serbis!","te kurtoviçi ska gje te mire pose injorimit,bulluzimit,ofenfimit dhe e quan opoziten hajvanat ky asht psikopat dhe spiun i serbis!"
01JMQZ64KGQWKHV5PSKG6V8XYT,2,Ju shtu parlamentit edhe nje kafsh me teper,ju shtu parlamentit edhe nje kafsh me teper
01JKRK2DRGP4DPXZ67JA185AZQ,2,O prof ska qeverisje me legena analfabet!,o prof ska qeverisje me legena analfabet!
01JKVHE9G8ZF65CT28E45C14VA,0,"Kemi dyshime, asnjehere me pare nuk kan ndodhur gjera te tilla.","kemi dyshime, asnjehere me pare nuk kan ndodhur gjera te tilla."
01JN7C50G819PGDTRDPBXBM5SS,2,"Ndaq me ti qit n shesh nja 200.000 mi njerz 
E me ta mshelë edhe burgun...
Hijenat e kqija..",ndaq me ti qit n shesh nja 200.000 mi njerz e me ta mshelë edhe burgun... hijenat e kqija..
01JK80VK98HBN9BWEQD1ZT3TN0,1,Rrnoft Albin Baba i Kosoves qe e Çliroj Veriun,rrnoft albin baba i kosoves qe e çliroj veriun
01JNS82C2098GWWY36B6BV094J,2,"Çfarë moroni, ncncnc.","çfarë moroni, ncncnc."
01JM312R480W9KT101QDMJT19Y,0,Prshkak interesit normal,prshkak interesit normal
01JKTXPFQGEDKKTP1NZKM6F865,2,Ku eshtë asi gazetari po e fute dorën ne xhep prej meraku qka po i jep e livritë bishtin si qen ka me leh per ty tan ditën!,ku eshtë asi gazetari po e fute dorën ne xhep prej meraku qka po i jep e livritë bishtin si qen ka me leh per ty tan ditën!
01JKGM325081Q8RC7ZS6ZWYGKZ,2,Kuku per opozitën  ku ka ra poshtë  po mundohen me byth.... e  Granellit me fitu vota kjo sesht normal kekund ne bot,"kuku për opozitën ku ka rënë poshtë, po mundohen me byth… e granellit me fituar vota. kjo s’është normale askund në botë"
01JKPBSCK8C88KWFY64F2ZM4HE,2,Mafia,mafia
01JHCWZ9801WYBGASKNJ3JZ98W,0,Kysmet Allah Që jem shnosh emir po më votu më zemer Kta dy gjith,kysmet allah që jem shnosh emir po më votu më zemer kta dy gjith
01JMDJ9VJ0W3419ENHMKTHKM6V,2,I ka fitue me vjedhje industriale të votave...,i ka fitue me vjedhje industriale të votave...
01JMJ1GRW89B2KKQ93P1E8S2D1,0,Ne gjdo fshat te kosoves ka pas te till,ne gjdo fshat te kosoves ka pas te till
01JHBSVYYRBMJTBBS4EF6D2XR9,2,Ky ka qen plani juj edhe i ldk-s qe te bartni njerz prej krejt kosove ne fillim te fushates qe tmendojn njerzit se ju po kthehni fuqishem ne skenen politike po perveq juve ket rren nuk e beson kerkush,ky ka qen plani juj edhe i ldk-s qe te bartni njerz prej krejt kosove ne fillim te fushates qe tmendojn njerëzit se ju po kthehni fuqishem ne skenen politike po perveq juve ket rren nuk e beson kerkush
01JNM268P0JA4PDGGZT03HBA7J,0,Bedria bohet kryeminister,bedria bohet kryeminister
01JHV85A7GBJ16CB847E4RDCG7,1,Respekt per ty Nasim Haradinaj,respekt per ty nasim haradinaj
01JK9GTGF8KX6ZES1XKA4701Y0,1,Fitore e madhe me kryeministrin ne ardhje Z Bedri Hamza 131 Kret kosova PDK,fitore e madhe me kryeministër ne ardhje z bedri hamza 131 kret kosova pdk
01JK0BJ5MR7QQRKA7B9N7W6M9X,0,Lisa Rugova Deputetja ne Ardhje 1️⃣2️⃣4️⃣✅️8️⃣4️⃣✅️✌️✌️,lisa rugova deputetja ne ardhje 1️⃣2️⃣4️⃣✅️8️⃣4️⃣✅️✌️✌️
01JNDN7BXG8Y31HR6WMNNN41QY,2,Hajde hajni hajde,hajde hajni hajde
01JHMXS6W8W8067WSWFGB20B0M,0,kush te voton ty more,kush te voton ty more
01JN1YWPH81ZZDFBAQ066KK9HQ,2,Hajvani pret fitore,hajvani pret fitore
01JKR3XRZ86RY8R5WFF77YK46D,0,O vet i kanë lejue se ju kanë dashtë me manipulue,o vet i kanë lejue se ju kanë dashtë me manipulue
01JHR439CG2BZNX8GJTDC4KWJF,1,Jemi me ty Rambo per Suksese AAK 137✅,jemi me ty rambo per suksese aak 137✅
01JJMPH86GXJVKGWYHBMPEHX0J,2,Se besoj që ende ka idiota naiva që e votojnë partinë servile pasive keqpërdoruese tinzre parazite partinë ldk,se besoj që ende ka idiota naiva që e votojnë partinë servile pasive keqpërdoruese tinzre parazite partinë ldk
01JN6DXMEGDX1CDV3CMH2XW43G,2,"Labinot Ahmeti A i ke marr ti lekt hala se qeky paska dhan lek per juve  

Qe kur te dalin para gjykates qysh qkulaven kta Prapaganduesit Hahahahahahahahhaah",labinot ahmeti a i ke marr ti lekt hala se qeky paska dhan lek per juve qe kur te dalin para gjykates qysh qkulaven kta prapaganduesit hahahahahahahahhaah
01JJFTYYH86PCQDBJSYYQ5ZFEC,2,Sa rrenca jan kta llaskuca,sa rrenca jan kta llaskuca
01JN7AQ9KRBR7G67SRVMBK3ZWS,1,Rrespekt Dr.Ahmed Kalaja.,rrespekt dr.ahmed kalaja.
01JJ2T4DH0FNEGBBQHXXJ9KGP5,2,Ky me pas kan qen se kish majt kerkush se veq kish leh ke dikush ose e heetoi nai mac a nai sen ky veq leh si llaskuc i keq,ky me pas kan qen se kish majt kerkush se veç kish leh ke dikush ose e heetoi nai mac a nai sen ky veç leh si llaskuc i keq
01JJVC5B2RTYYYDAC5AEERP0MH,2,O  Ermal Panduri mos u djersit  mos u  skuq  se partija jote është parti e barabart me listen serbe,o ermal panduri mos u djersit mos u skuq se partija jote është parti e barabart me listen serbe
01JJ6VVMCRA1QDVXHB2V5AFR64,0,Albini ekalli krejt,albini ekalli krejt
01JJH5EV4GJ0RH8P8J9PJSKXVG,2,Uhhh nënë e shkive kjo spoju pëlqen !       ,uhhh nënë e shkive kjo spoju pëlqen !
01JMJSDZ6RCEEJ8K4DCGW7QHCE,0,Ngushllime,ngushllime
01JJAAJZ3RZXNHGA0YV97EJBKA,0,Populli duhet të reflektoj dhe mos të votoj njerz të pa përshtatshem për aleatin kryesor të shtetit të Kosoves!.,populli duhet të reflektoj dhe mos të votoj njerz të pa përshtatshem për aleatin kryesor të shtetit të kosoves!.
01JH8VZQ703641SKCXY706CN8W,2,Ky eshte medium serbo rus qe e kan shkruar me analstat qe jan me cetnik se cetniket,ky eshte medium serbo rus qe e kan shkruar me analstat qe jan me cetnik se cetniket
01JHX38528921HWSXAJM2N35PA,1,Respekt!,respekt!
01JNGACWQ064H4GP2ME634JTF5,0,"Jo , asesi  !","jo , asesi !"
01JK3Y6P78PKY6ARG48CDSX61Q,2,Po ti site vish ki menreq minijere hahaha ik more sofrabez,po ti site vish ki menreq minijere hahaha ik more sofrabez
01JN1R43W0JWDGJ25P6N388MYR,1,Milazim Salijaj  do na mungoj shum se ka qen deputeti ma I zeshum në kuvendin e kosoves 100%në gjdo seanc I pazavedsushum,milazim salijaj do na mungoj shum se ka qen deputeti ma i zeshum në kuvendin e kosoves 100%në gjdo seanc i pazavedsushum
01JJZ96G687NZWCWEHGX7913YG,0,Baj anej e Baj knej haha,baj anej e baj knej haha
01JN4FPZ9023J9AHPEJXY1QS5N,2,ky qeni plak paska fol,ky qeni plak paska fol
01JM1KE6TGX2S223YHDGT2PMQD,0,Ss epaskan pagu ket tipin si gre nrenellin a mos dslshi pun e vogel asht kojo rrini nshpi......,ss epaskan pagu ket tipin si gre nrenellin a mos dslshi pun e vogel asht kojo rrini nshpi......
01JK42Y4X0J5T1MKM4D98FD0H7,2,Qyp moj kuder e rrugave,qyp moj kuder e rrugave
01JJC2HPTGGBGTT47KGE6BAD56,2,Vetm emrin qe e keni vot per ty nuk ka se emrin e tradhtarit e kije vv vetm,vetm emrin qe e keni vot per ty nuk ka se emrin e tradhtarit e kije vv vetm
01JHE0B21GSSYTHC96AA71BQ5R,0,Albini,albini
01JM4C14K84S466Q9P1VQPFY0E,0,Po pse po shani o burra çdo kysh jep mendimin e vet mane vetën bon koalicion mirë nuk bon hala ma mirë mane vetën.,po pse po shani o burra çdo kysh jep mendimin e vet mane vetën bon koalicion mirë nuk bon hala ma mirë mane vetën.
01JJSMCNPRBC30ETJTMNC0PHAF,0,Ldk ja raliteti.,ldk ia raliteti.
01JKBG70JR4E2KE0AENWM5A84Z,1,Suksese,suksese
01JNBF4BHR3ZVRH0GAV18KMJC2,2,"Nje shpi budall, zagr dhen endacak","nje shpi budall, zagr dhen endacak"
01JHKGCEK8S41FJEMV44HRASHJ,1,Nieri intelegjent qesi I duhen Kosoves edhe ata sa ma shum PDK,nieri intelegjent qesi i duhen kosoves edhe ata sa ma shum pdk
01JJVXR4V8RFQ7DB2KTEJJKSDG,0,"Sipas menimit tand, po i bjen që gjithë ata që kanë ble tokat ( patundshmëriyë) publike me më pak se 10 euro për 1 ari, po duhet mi sjpërblye me pozita udhëheqëse shtetërore a? A je ka din cka po e këshillon popullin? Pra cilët persona e zhvatin padunin publike, duhet me vorue ose emërtue me pozita të larta publike pa pas detyrën / obligimin që ata persona mi kthye ato pasuri të patundshme publike popullit kosovar që ia ka marr përmes diskriminimit ekonomik qytetar.!!!","sipas menimit tand, po i bjen që gjithë ata që kanë ble tokat ( patundshmëriyë) publike me më pak se 10 euro për 1 ari, po duhet mi sjpërblye me pozita udhëheqëse shtetërore a? a je ka din cka po e këshillon popullin? pra cilët persona e zhvatin padunin publike, duhet me vorue ose emërtue me pozita të larta publike pa pas detyrën / obligimin që ata persona mi kthye ato pasuri të patundshme publike popullit kosovar që ia ka marr përmes diskriminimit ekonomik qytetar.!!!"
01JMZAXYYG86AX73PNSBDNPJD2,0,Tv Serbia kush e shiti KEKun,tv serbia kush e shiti kekun
01JN4386H8YSDAZRM0T0CF6FPZ,0,"Prokuroret dhe Gjyçtaret,
Duhet Mi HETU  Gjithë
Deri Nja,
Pi 2000-deri 2025","prokuroret dhe gjyçtaret, duhet mi hetu gjithë deri nja, pi 2000-deri 2025"
01JN9W5C4RH01G47QNNPVEPCN2,2,klan serrbia je ba shum marak apo shkon a jo,klan serrbia je ba shum marak apo shkon a jo
01JJMZ1RX0G1GZFBYZMW944RKD,2,Kta ikan tjera pun qysh me vjedh pare  sekan. Mendimin me ru kosoven po qysh me vjedh,kta ikan tjera pun qysh me vjedh pare sekan. mendimin me ru kosoven po qysh me vjedh
01JN8K9RCRKJ7V5H1MMR1NNNS1,2,Oh Flliqana naj flliqet Kombin! Ikni shkoni ne Arabi ne dreq të mallkuar….,oh flliqana naj flliqet kombin! ikni shkoni ne arabi ne dreq të mallkuar….
01JK9EVXHGBZP7WH6MGWBRRMZM,1,Shum e vertet,shum e vertet
01JHJ8P930YZZ523C91E7KB1JS,0,Ju i keni bllokuar çmimet tavan përmes gjykatës klienteliste !,ju i keni bllokuar çmimet tavan përmes gjykatës klienteliste !
01JJR8FYH8RTC41TC8MY3KDB1Z,0,O KREJT AUTOSTRADEN LE TA BLLOKON SE E MERITON BABA I KTI VENI ,o krejt autostraden le ta bllokon se e meriton baba i kti veni
01JHQZN0N08CMKX8SX0GGSH1FC,2,TA KA NDAL TERMINALIN NE HAN TE ELEZIT TY E TI TASH KE MU QA KA GOJA E KA BOTHA PO KOT E KI,ta ka ndal terminalin ne han te elezit ty e ti tash ke mu qa ka goja e ka botha po kot e ki
01JMQPJ2M0NSSZRB7P0C1N0TMF,2,Oooo mushk mos pall kot!,oooo mushk mos pall kot!
01JK446MSRABV1TZVQYD45GT8Y,0,PDK131,pdk131
01JNNTP38RZACV9PTZRC4MGZ1N,0,Super koka ba,super koka ba
01JJZ1HECRJ0HA4GXPWCXCVTJ7,2,Autostradat ikan boooo Nderkombtart ooo Fatmir Bojleri ti veq ke vjedh Hajn pis Tradhtar ne Shal Bajgores jekan ti zhvesh UÇK more Tradhtar,autostradat ikan boooo nderkombtart ooo fatmir bojleri ti veç ke vjedh hajn pis tradhtar ne shal bajgores jekan ti zhvesh uçk more tradhtar
01JNGF30DR608PJJFCKWBD6N3M,0,Mimoza na lajmron detajet,mimoza na lajmron detajet
01JNRBT7E8ETWZMA0632CSCBRJ,0,Nuk ka egzistua Atentat...Vetem farsat Zgjedhore.,nuk ka egzistua atentat...vetem farsat zgjedhore.
01JN21RC48VWXV3R3N86B80K8E,0,oooooo “GËRRNAQA” çka keni ba kshtu o vllazni e motra❤️,oooooo “gërrnaqa” çka keni ba kshtu o vllazni e motra❤️
01JKMQZCY0B7JYGV9MMTJ19GPX,2,"ju  tjaft  dota  sti  që  ja  jep  votën këti  majmuni  , kjo  është  që  motra e  saj  që e  luam  rolin e  ambasadorit , asgjë  nuk  është  nji  punëtore  e  thjesht në  ambasad  por  shum  hiekin  zyrtaret  dhe  ambasadori me  motrën e  kësaj  majmuni","ju tjaft dota sti që ia jep votën këti majmuni , kjo është që motra e saj që e luam rolin e ambasadorit , asgjë nuk është nji punëtore e thjesht në ambasad por shum hiekin zyrtaret dhe ambasadori me motrën e kësaj majmuni"
01JN1J8VP0NKM74DQFQXBEC3B0,0,"Pas 5 vitesh martesë të dashur me dy fëmijë, i dashuri im filloi të sillej në mënyrë të çuditshme dhe të shihte gjithnjë e më shumë zonja që shfaqnin dashuri të ftohtë, duke më kërcënuar disa herë me divorc nëse guxoja ta pyesja për dashurinë e tij.  burra të tjerë.  Gjithçka e qartë dhe konfuze derisa u plaka me një magjistar interneti të quajtur @Spiritual Doctor Osama.  kush është personi me probleme për fuqinë e magjisë së dashurisë, fillimisht dyshova nëse ekziston një gjë e tillë, por veneedosa të provokoj, kur kontaktova me të më ndihmoi të bëj një magji dashurie dhe brenda 24 orëve.  e dashura ime u kthye tek unë dhe filloi të kërkonte falje, tani ajo është ndarë me burra të tjerë dhe është me mua për mirë dhe realisht.  Ky magjistar i dashurisë për të gjitha çështjet tuaja të takimeve apo martesës… ju lidheni me të për shërbimet e tij në lidhjet e tij në WhatsApp: https://wa.link/oyfiyy ose faqen time në Facebook
      

http://Facebook.com/Spiritual-Doctor-Osama-61554031847319","pas 5 vitesh martesë të dashur me dy fëmijë, i dashuri im filloi të sillej në mënyrë të çuditshme dhe të shihte gjithnjë e më shumë zonja që shfaqnin dashuri të ftohtë, duke më kërcënuar disa herë me divorc nëse guxoja ta pyesja për dashurinë e tij. burra të tjerë. gjithçka e qartë dhe konfuze derisa u plaka me një magjistar interneti të quajtur @spiritual doctor osama. kush është personi me probleme për fuqinë e magjisë së dashurisë, fillimisht dyshova nëse ekziston një gjë e tillë, por veneedosa të provokoj, kur kontaktova me të më ndihmoi të bëj një magji dashurie dhe brenda 24 orëve. e dashura ime u kthye tek unë dhe filloi të kërkonte falje, tani ajo është ndarë me burra të tjerë dhe është me mua për mirë dhe realisht. ky magjistar i dashurisë për të gjitha çështjet tuaja të takimeve apo martesës… ju lidheni me të për shërbimet e tij në lidhjet e tij në whatsapp: https://wa.link/oyfiyy ose faqen time në facebook http://facebook.com/spiritual-doctor-osama-61554031847319"
01JN5ZGY8G2QVQJ6V0R1XES6YF,0,"Njerzit ose udhëheqësit e PDK-së që dijtën të sjellin Lirinë ketij vendi të bejnë Pavarsin e Kosovës ta zhvillojnë ketë vendë në nivelin më të mirë të mundëshem dhe institucione të Shtetit shumë të mira e të afta, me personalitete të nivelit Europian e Nderkombtar dhe ti bejnë miq të fortit siç është SHBA-të mund ta bejnë ndo nji gabim të vogel por jo edhe shumë të mëdha për të hy nji thesë me antikombtar","njerzit ose udhëheqësit e pdk-së që dijtën të sjellin lirinë ketij vendi të bejnë pavarsin e kosovës ta zhvillojnë ketë vendë në nivelin më të mirë të mundëshem dhe institucione të shtetit shumë të mira e të afta, me personalitete të nivelit europian e nderkombtar dhe ti bejnë miq të fortit siç është shba-të mund ta bejnë ndo nji gabim të vogel por jo edhe shumë të mëdha për të hy nji thesë me antikombtar"
01JJ8YV18GMKQ07TC4629NM3RJ,2,Ne ket tubim as ni ghakovar nuk asht krjt jon    katunar qasi rrypa,ne ket tubim as ni ghakovar nuk asht krjt jon katunar qasi rrypa
01JKVEEZPGBFB64JXS96YR3X9W,2,Ky manipulanti!,ky manipulanti!
01JMQETZCRH654FT6H5DZ4KRTG,2,More qen i ...,more qen i ...
01JKBQ98T8D5HXNC54PFV66VCN,2,Ti je turpi Radoiqiqit,ti je turpi radoiqiqit
01JKRCFHQ0TND82Z3JXTHMDE30,0,Apet hupen a,apet hupen a
